,num_iterations,updates,energy
0,1,1,-1529.9706671978056
1,1,2,-1529.9706671978056
2,1,3,-1529.9706671978056
3,1,4,-1529.9706671978056
4,1,5,-1600.0930703845897
5,1,6,-1710.8280984126181
6,1,7,-1799.9610168513016
7,1,8,-1799.9610168513016
8,1,9,-1946.3258463952611
9,1,10,-2035.1674213944873
10,1,11,-2035.1674213944873
11,1,12,-2147.450469404704
12,1,13,-2296.9627489727363
13,1,14,-2296.9627489727363
14,1,15,-2372.9740427960633
15,1,16,-2459.1906719109884
16,1,17,-2540.8941248594047
17,1,18,-2642.7093836156323
18,1,19,-2642.7093836156323
19,1,20,-2804.447214513134
20,1,21,-2804.447214513134
21,1,22,-2804.447214513134
22,1,23,-2804.447214513134
23,1,24,-2804.447214513134
24,1,25,-2804.447214513134
25,1,26,-2804.447214513134
26,1,27,-2804.447214513134
27,1,28,-2925.406446627232
28,1,29,-3070.8670669563535
29,1,30,-3070.8670669563535
30,1,31,-3176.13419073128
31,1,32,-3176.13419073128
32,1,33,-3314.4875935605723
33,1,34,-3314.4875935605723
34,1,35,-3314.4875935605723
35,1,36,-3314.4875935605723
36,1,37,-3314.4875935605723
37,1,38,-3314.4875935605723
38,1,39,-3314.4875935605723
39,1,40,-3477.5864074804535
40,1,41,-3477.5864074804535
41,1,42,-3477.5864074804535
42,1,43,-3624.356209426647
43,1,44,-3792.0468406184177
44,1,45,-3792.0468406184177
45,1,46,-3907.049716641883
46,1,47,-3907.049716641883
47,1,48,-4081.7942175004196
48,1,49,-4081.7942175004196
49,1,50,-4081.7942175004196
50,1,51,-4203.945720036472
51,1,52,-4342.70072285184
52,1,53,-4537.942196662758
53,1,54,-4746.032115000602
54,1,55,-4923.034201939396
55,1,56,-5125.072749858389
56,1,57,-5316.055276712965
57,1,58,-5506.541483859885
58,1,59,-5506.541483859885
59,1,60,-5785.277324626757
60,1,61,-5785.277324626757
61,1,62,-5999.511539706472
62,1,63,-5999.511539706472
63,1,64,-5999.511539706472
64,1,65,-6223.839011111379
65,1,66,-6445.127894336745
66,1,67,-6445.127894336745
67,1,68,-6708.776230504512
68,1,69,-6708.776230504512
69,1,70,-6708.776230504512
70,1,71,-6917.273351696151
71,1,72,-7161.513605174344
72,1,73,-7161.513605174344
73,1,74,-7161.513605174344
74,1,75,-7161.513605174344
75,1,76,-7161.513605174344
76,1,77,-7394.469992269472
77,1,78,-7639.659252308258
78,1,79,-7639.659252308258
79,1,80,-7910.432804814682
80,1,81,-8159.812604987711
81,1,82,-8360.390610851591
82,1,83,-8360.390610851591
83,1,84,-8360.390610851591
84,1,85,-8644.376380618662
85,1,86,-8873.999876512946
86,1,87,-9152.557936082892
87,1,88,-9377.465575027662
88,1,89,-9694.24958683331
89,1,90,-9694.24958683331
90,1,91,-9992.948013765748
91,1,92,-9992.948013765748
92,1,93,-9992.948013765748
93,1,94,-9992.948013765748
94,1,95,-10254.347159934823
95,1,96,-10254.347159934823
96,1,97,-10254.347159934823
97,1,98,-10559.429298429008
98,1,99,-10798.197221132135
99,1,100,-11091.415180106647
100,1,101,-11091.415180106647
101,1,102,-11091.415180106647
102,1,103,-11351.197733847557
103,1,104,-11351.197733847557
104,1,105,-11668.995080907198
105,1,106,-11969.431942937003
106,1,107,-11969.431942937003
107,1,108,-12227.10887514182
108,1,109,-12569.67771619827
109,1,110,-12885.995686396844
110,1,111,-12885.995686396844
111,1,112,-12885.995686396844
112,1,113,-12885.995686396844
113,1,114,-13214.484393052953
114,1,115,-13495.941649867638
115,1,116,-13495.941649867638
116,1,117,-13495.941649867638
117,1,118,-13495.941649867638
118,1,119,-13838.20379614107
119,1,120,-13838.20379614107
120,1,121,-13838.20379614107
121,1,122,-13838.20379614107
122,1,123,-13838.20379614107
123,1,124,-13838.20379614107
124,1,125,-14152.30334230558
125,1,126,-14551.989098688498
126,1,127,-14551.989098688498
127,1,128,-14551.989098688498
128,1,129,-14551.989098688498
129,1,130,-14900.31872491088
130,1,131,-14900.31872491088
131,1,132,-14900.31872491088
132,1,133,-14900.31872491088
133,1,134,-15250.294107516862
134,1,135,-15621.316929083903
135,1,136,-15976.140231998259
136,1,137,-16373.879356542066
137,1,138,-16373.879356542066
138,1,139,-16689.410088321783
139,1,140,-17029.222028171753
140,1,141,-17029.222028171753
141,1,142,-17029.222028171753
142,1,143,-17029.222028171753
143,1,144,-17386.730571439755
144,1,145,-17727.8541085739
145,1,146,-17727.8541085739
146,1,147,-18111.479382987785
147,1,148,-18111.479382987785
148,1,149,-18477.17456222131
149,1,150,-18477.17456222131
150,1,151,-18863.109895443937
151,1,152,-18863.109895443937
152,1,153,-19256.551948752065
153,1,154,-19256.551948752065
154,1,155,-19256.551948752065
155,1,156,-19256.551948752065
156,1,157,-19605.429140946
157,1,158,-20015.64017180306
158,1,159,-20015.64017180306
159,1,160,-20015.64017180306
160,1,161,-20422.998964952552
161,1,162,-20788.7233796381
162,1,163,-20788.7233796381
163,1,164,-21183.928466823378
164,1,165,-21627.096870696514
165,1,166,-22067.86357746394
166,1,167,-22457.76620600484
167,1,168,-22457.76620600484
168,1,169,-22457.76620600484
169,1,170,-22457.76620600484
170,1,171,-22881.76268845626
171,1,172,-22881.76268845626
172,1,173,-23309.688899736735
173,1,174,-23738.554931559316
174,1,175,-24188.073389290585
175,1,176,-24188.073389290585
176,1,177,-24188.073389290585
177,1,178,-24188.073389290585
178,1,179,-24636.913625497655
179,1,180,-24636.913625497655
180,1,181,-25093.226825451115
181,1,182,-25093.226825451115
182,1,183,-25574.263094954396
183,1,184,-26023.99094601372
184,1,185,-26508.993287162244
185,1,186,-26508.993287162244
186,1,187,-26508.993287162244
187,1,188,-26508.993287162244
188,1,189,-26508.993287162244
189,1,190,-26508.993287162244
190,1,191,-26508.993287162244
191,1,192,-26508.993287162244
192,1,193,-27017.38927862679
193,1,194,-27430.996364118528
194,1,195,-27430.996364118528
195,1,196,-27430.996364118528
196,1,197,-27917.169402067106
197,1,198,-28410.011064837643
198,1,199,-28410.011064837643
199,1,200,-28878.52676504997
200,1,201,-29309.099021141214
201,1,202,-29782.477293826585
202,1,203,-29782.477293826585
203,1,204,-29782.477293826585
204,1,205,-30257.34874488981
205,1,206,-30257.34874488981
206,1,207,-30257.34874488981
207,1,208,-30768.997589724007
208,1,209,-31242.057512036496
209,1,210,-31744.866340545675
210,1,211,-32242.66641855373
211,1,212,-32790.44443401842
212,1,213,-32790.44443401842
213,1,214,-33293.633179006676
214,1,215,-33293.633179006676
215,1,216,-33293.633179006676
216,1,217,-33819.61559586137
217,1,218,-34346.50299963682
218,1,219,-34346.50299963682
219,1,220,-34346.50299963682
220,1,221,-34346.50299963682
221,1,222,-34873.04429813381
222,1,223,-35413.11926077794
223,1,224,-35413.11926077794
224,1,225,-35918.55827954812
225,1,226,-36404.93565095677
226,1,227,-36404.93565095677
227,1,228,-36404.93565095677
228,1,229,-36404.93565095677
229,1,230,-36940.596776661354
230,1,231,-37486.73038490921
231,1,232,-38010.84241502562
232,1,233,-38010.84241502562
233,1,234,-38543.383332633835
234,1,235,-38543.383332633835
235,1,236,-39123.11012278315
236,1,237,-39721.765390000255
237,1,238,-40302.96158763063
238,1,239,-40302.96158763063
239,1,240,-40302.96158763063
240,1,241,-40916.18934607982
241,1,242,-40916.18934607982
242,1,243,-41537.05910256674
243,1,244,-41537.05910256674
244,1,245,-41537.05910256674
245,1,246,-42069.5665169774
246,1,247,-42640.03804747437
247,1,248,-42640.03804747437
248,1,249,-42640.03804747437
249,1,250,-43187.774793334334
250,1,251,-43797.643469804825
251,1,252,-43797.643469804825
252,1,253,-44416.86768819799
253,1,254,-44416.86768819799
254,1,255,-44965.65967763937
255,1,256,-45564.028071073786
256,1,257,-45564.028071073786
257,1,258,-45564.028071073786
258,1,259,-45564.028071073786
259,1,260,-45564.028071073786
260,1,261,-46176.9479594145
261,1,262,-46176.9479594145
262,1,263,-46750.05684026634
263,1,264,-46750.05684026634
264,1,265,-46750.05684026634
265,1,266,-47398.11439091919
266,1,267,-47398.11439091919
267,1,268,-47398.11439091919
268,1,269,-47398.11439091919
269,1,270,-47976.0447078102
270,1,271,-48624.83526146876
271,1,272,-49298.05567148881
272,1,273,-49298.05567148881
273,1,274,-49886.728780236874
274,1,275,-49886.728780236874
275,1,276,-50554.548085137765
276,1,277,-50554.548085137765
277,1,278,-51203.13401791396
278,1,279,-51899.4464053021
279,1,280,-51899.4464053021
280,1,281,-51899.4464053021
281,1,282,-52524.63138091442
282,1,283,-53135.18743176403
283,1,284,-53771.549395394235
284,1,285,-53771.549395394235
285,1,286,-54439.994047995446
286,1,287,-55127.31135256793
287,1,288,-55766.135261084564
288,1,289,-55766.135261084564
289,1,290,-55766.135261084564
290,1,291,-55766.135261084564
291,1,292,-55766.135261084564
292,1,293,-56421.43358539599
293,1,294,-56421.43358539599
294,1,295,-57062.593244768446
295,1,296,-57746.84301406451
296,1,297,-58433.32967661186
297,1,298,-59126.88120071334
298,1,299,-59767.15917174253
299,1,300,-59767.15917174253
300,1,301,-60455.38290135576
301,1,302,-60455.38290135576
302,1,303,-61165.93883768013
303,1,304,-61843.37580652794
304,1,305,-61843.37580652794
305,1,306,-62522.4577413565
306,1,307,-62522.4577413565
307,1,308,-63240.39574728369
308,1,309,-63944.705595797204
309,1,310,-63944.705595797204
310,1,311,-64631.96693246486
311,1,312,-65367.28090804321
312,1,313,-65367.28090804321
313,1,314,-65367.28090804321
314,1,315,-65367.28090804321
315,1,316,-65367.28090804321
316,1,317,-65367.28090804321
317,1,318,-65367.28090804321
318,1,319,-65367.28090804321
319,1,320,-66091.79422030863
320,1,321,-66830.46144893693
321,1,322,-67503.19480426298
322,1,323,-67503.19480426298
323,1,324,-67503.19480426298
324,1,325,-67503.19480426298
325,1,326,-68268.23749775419
