,num_iterations,updates,energy
0,1,1,-264.51171875
1,1,2,-264.51171875
2,1,3,-265.265625
3,1,4,-265.265625
4,1,5,-266.04296875
5,1,6,-266.04296875
6,1,7,-266.04296875
7,1,8,-266.04296875
8,1,9,-266.04296875
9,1,10,-266.04296875
10,1,11,-266.04296875
11,1,12,-269.578125
12,1,13,-269.578125
13,1,14,-269.578125
14,1,15,-269.578125
15,1,16,-269.578125
16,1,17,-269.578125
17,1,18,-269.578125
18,1,19,-270.38671875
19,1,20,-270.38671875
20,1,21,-273.953125
21,1,22,-273.953125
22,1,23,-275.19921875
23,1,24,-278.796875
24,1,25,-280.07421875
25,1,26,-283.703125
26,1,27,-283.703125
27,1,28,-283.703125
28,1,29,-285.01171875
29,1,30,-285.01171875
30,1,31,-285.01171875
31,1,32,-285.01171875
32,1,33,-285.84375
33,1,34,-285.84375
34,1,35,-285.84375
35,1,36,-285.84375
36,1,37,-285.84375
37,1,38,-285.84375
38,1,39,-287.16796875
39,1,40,-288.015625
40,1,41,-288.015625
41,1,42,-288.015625
42,1,43,-288.015625
43,1,44,-289.35546875
44,1,45,-290.21875
45,1,46,-291.69921875
46,1,47,-293.203125
47,1,48,-293.203125
48,1,49,-294.54296875
49,1,50,-298.265625
50,1,51,-298.265625
51,1,52,-302.01171875
52,1,53,-302.01171875
53,1,54,-302.01171875
54,1,55,-302.01171875
55,1,56,-302.01171875
56,1,57,-303.546875
57,1,58,-303.546875
58,1,59,-303.546875
59,1,60,-303.546875
60,1,61,-303.546875
61,1,62,-303.546875
62,1,63,-303.546875
63,1,64,-303.546875
64,1,65,-303.546875
65,1,66,-303.546875
66,1,67,-303.546875
67,1,68,-303.546875
68,1,69,-303.546875
69,1,70,-303.546875
70,1,71,-307.32421875
71,1,72,-307.32421875
72,1,73,-308.890625
73,1,74,-308.890625
74,1,75,-308.890625
75,1,76,-308.890625
76,1,77,-308.890625
77,1,78,-308.890625
78,1,79,-312.69921875
79,1,80,-312.69921875
80,1,81,-314.296875
81,1,82,-314.296875
82,1,83,-314.296875
83,1,84,-314.296875
84,1,85,-318.13671875
85,1,86,-319.765625
86,1,87,-320.63671875
87,1,88,-324.515625
88,1,89,-328.41796875
89,1,90,-328.41796875
90,1,91,-332.34375
91,1,92,-336.29296875
92,1,93,-337.96875
93,1,94,-341.94921875
94,1,95,-345.953125
95,1,96,-345.953125
96,1,97,-345.953125
97,1,98,-345.953125
98,1,99,-345.953125
99,1,100,-345.953125
100,1,101,-345.953125
101,1,102,-345.953125
102,1,103,-349.98046875
103,1,104,-349.98046875
104,1,105,-349.98046875
105,1,106,-349.98046875
106,1,107,-349.98046875
107,1,108,-351.390625
108,1,109,-351.390625
109,1,110,-351.390625
110,1,111,-351.390625
111,1,112,-351.390625
112,1,113,-351.390625
113,1,114,-355.44921875
114,1,115,-355.44921875
115,1,116,-359.53125
116,1,117,-359.53125
117,1,118,-359.53125
118,1,119,-359.53125
119,1,120,-360.48046875
120,1,121,-360.48046875
121,1,122,-360.48046875
122,1,123,-361.453125
123,1,124,-361.453125
124,1,125,-361.453125
125,1,126,-365.57421875
126,1,127,-365.57421875
127,1,128,-365.57421875
128,1,129,-365.57421875
129,1,130,-365.57421875
130,1,131,-365.57421875
131,1,132,-369.71875
132,1,133,-369.71875
133,1,134,-369.71875
134,1,135,-369.71875
135,1,136,-369.71875
136,1,137,-369.71875
137,1,138,-369.71875
138,1,139,-369.71875
139,1,140,-369.71875
140,1,141,-369.71875
141,1,142,-370.73046875
142,1,143,-371.765625
143,1,144,-371.765625
144,1,145,-372.82421875
145,1,146,-372.82421875
146,1,147,-372.82421875
147,1,148,-372.82421875
148,1,149,-372.82421875
149,1,150,-372.82421875
150,1,151,-374.25
151,1,152,-378.44921875
152,1,153,-382.671875
153,1,154,-382.671875
154,1,155,-386.91796875
155,1,156,-386.91796875
156,1,157,-386.91796875
157,1,158,-386.91796875
158,1,159,-386.91796875
159,1,160,-386.91796875
160,1,161,-386.91796875
161,1,162,-386.91796875
162,1,163,-391.1875
163,1,164,-391.1875
164,1,165,-391.1875
165,1,166,-392.29296875
166,1,167,-392.29296875
167,1,168,-393.765625
168,1,169,-398.07421875
169,1,170,-399.203125
170,1,171,-399.203125
171,1,172,-399.203125
172,1,173,-399.203125
173,1,174,-403.54296875
174,1,175,-403.54296875
175,1,176,-403.54296875
176,1,177,-403.54296875
177,1,178,-403.54296875
178,1,179,-403.54296875
179,1,180,-403.54296875
180,1,181,-403.54296875
181,1,182,-404.703125
182,1,183,-404.703125
183,1,184,-404.703125
184,1,185,-409.07421875
185,1,186,-413.46875
186,1,187,-413.46875
187,1,188,-413.46875
188,1,189,-417.88671875
189,1,190,-417.88671875
190,1,191,-419.625
191,1,192,-419.625
192,1,193,-419.625
193,1,194,-424.07421875
194,1,195,-424.07421875
195,1,196,-424.07421875
196,1,197,-428.546875
197,1,198,-428.546875
198,1,199,-430.32421875
199,1,200,-431.53125
200,1,201,-431.53125
201,1,202,-436.04296875
202,1,203,-436.04296875
203,1,204,-437.28125
204,1,205,-437.28125
205,1,206,-438.79296875
206,1,207,-438.79296875
207,1,208,-440.046875
208,1,209,-440.046875
209,1,210,-440.046875
210,1,211,-440.046875
211,1,212,-444.60546875
212,1,213,-449.1875
213,1,214,-449.1875
214,1,215,-449.1875
215,1,216,-449.1875
216,1,217,-450.98046875
217,1,218,-450.98046875
218,1,219,-452.515625
219,1,220,-452.515625
220,1,221,-452.515625
221,1,222,-457.13671875
222,1,223,-458.703125
223,1,224,-458.703125
224,1,225,-463.35546875
225,1,226,-465.171875
226,1,227,-469.85546875
227,1,228,-469.85546875
228,1,229,-469.85546875
229,1,230,-474.5625
230,1,231,-476.16796875
231,1,232,-477.796875
232,1,233,-477.796875
233,1,234,-477.796875
234,1,235,-482.54296875
235,1,236,-482.54296875
236,1,237,-482.54296875
237,1,238,-482.54296875
238,1,239,-482.54296875
239,1,240,-487.3125
240,1,241,-487.3125
241,1,242,-487.3125
242,1,243,-487.3125
243,1,244,-487.3125
244,1,245,-487.3125
245,1,246,-487.3125
246,1,247,-487.3125
247,1,248,-489.16796875
248,1,249,-489.16796875
249,1,250,-490.453125
250,1,251,-490.453125
251,1,252,-492.32421875
252,1,253,-492.32421875
253,1,254,-497.140625
254,1,255,-497.140625
255,1,256,-497.140625
256,1,257,-501.98046875
257,1,258,-501.98046875
258,1,259,-501.98046875
259,1,260,-506.84375
260,1,261,-506.84375
261,1,262,-511.73046875
262,1,263,-513.65625
263,1,264,-513.65625
264,1,265,-513.65625
265,1,266,-513.65625
266,1,267,-515.32421875
267,1,268,-515.32421875
268,1,269,-515.32421875
269,1,270,-515.32421875
270,1,271,-516.640625
271,1,272,-518.57421875
272,1,273,-520.25
273,1,274,-520.25
274,1,275,-525.19921875
275,1,276,-526.53125
276,1,277,-531.51171875
277,1,278,-531.51171875
278,1,279,-531.51171875
279,1,280,-531.51171875
280,1,281,-536.515625
281,1,282,-536.515625
282,1,283,-536.515625
283,1,284,-541.54296875
284,1,285,-546.59375
285,1,286,-551.66796875
286,1,287,-553.0625
287,1,288,-553.0625
288,1,289,-554.48046875
289,1,290,-556.453125
290,1,291,-556.453125
291,1,292,-556.453125
292,1,293,-556.453125
293,1,294,-556.453125
294,1,295,-556.453125
295,1,296,-556.453125
296,1,297,-561.57421875
297,1,298,-561.57421875
298,1,299,-566.71875
299,1,300,-571.88671875
300,1,301,-571.88671875
301,1,302,-571.88671875
302,1,303,-571.88671875
303,1,304,-573.90625
304,1,305,-573.90625
305,1,306,-573.90625
306,1,307,-573.90625
307,1,308,-579.10546875
308,1,309,-580.84375
309,1,310,-580.84375
310,1,311,-580.84375
311,1,312,-580.84375
312,1,313,-580.84375
313,1,314,-582.88671875
314,1,315,-584.328125
315,1,316,-589.57421875
316,1,317,-589.57421875
317,1,318,-589.57421875
318,1,319,-594.84375
319,1,320,-594.84375
320,1,321,-594.84375
321,1,322,-596.91796875
322,1,323,-596.91796875
323,1,324,-596.91796875
324,1,325,-596.91796875
325,1,326,-596.91796875
326,1,327,-596.91796875
327,1,328,-598.671875
328,1,329,-598.671875
329,1,330,-603.98046875
330,1,331,-605.765625
331,1,332,-605.765625
332,1,333,-607.85546875
333,1,334,-607.85546875
334,1,335,-613.203125
335,1,336,-613.203125
336,1,337,-613.203125
337,1,338,-613.203125
338,1,339,-613.203125
339,1,340,-613.203125
340,1,341,-613.203125
341,1,342,-613.203125
342,1,343,-613.203125
343,1,344,-613.203125
344,1,345,-613.203125
345,1,346,-613.203125
346,1,347,-614.66796875
347,1,348,-620.046875
348,1,349,-620.046875
349,1,350,-620.046875
350,1,351,-620.046875
351,1,352,-620.046875
352,1,353,-625.44921875
353,1,354,-630.875
354,1,355,-630.875
355,1,356,-630.875
356,1,357,-633.01171875
357,1,358,-638.46875
358,1,359,-643.94921875
359,1,360,-645.78125
360,1,361,-645.78125
361,1,362,-645.78125
362,1,363,-647.63671875
363,1,364,-653.15625
364,1,365,-653.15625
365,1,366,-653.15625
366,1,367,-653.15625
367,1,368,-653.15625
368,1,369,-655.32421875
369,1,370,-655.32421875
370,1,371,-660.875
371,1,372,-660.875
372,1,373,-660.875
373,1,374,-660.875
374,1,375,-660.875
375,1,376,-660.875
376,1,377,-660.875
377,1,378,-662.38671875
378,1,379,-662.38671875
379,1,380,-662.38671875
380,1,381,-662.38671875
381,1,382,-662.38671875
382,1,383,-664.578125
383,1,384,-666.79296875
384,1,385,-668.65625
385,1,386,-668.65625
386,1,387,-668.65625
387,1,388,-668.65625
388,1,389,-668.65625
389,1,390,-668.65625
390,1,391,-674.26171875
391,1,392,-674.26171875
392,1,393,-674.26171875
393,1,394,-674.26171875
394,1,395,-676.15625
395,1,396,-677.66796875
396,1,397,-683.3125
397,1,398,-684.85546875
398,1,399,-690.53125
399,1,400,-692.76171875
400,1,401,-692.76171875
401,1,402,-692.76171875
402,1,403,-692.76171875
403,1,404,-692.76171875
404,1,405,-692.76171875
405,1,406,-692.76171875
406,1,407,-694.328125
407,1,408,-694.328125
408,1,409,-694.328125
409,1,410,-700.04296875
410,1,411,-705.78125
411,1,412,-705.78125
412,1,413,-705.78125
413,1,414,-705.78125
414,1,415,-705.78125
415,1,416,-711.54296875
416,1,417,-711.54296875
417,1,418,-711.54296875
418,1,419,-713.46875
419,1,420,-713.46875
420,1,421,-713.46875
421,1,422,-713.46875
422,1,423,-713.46875
423,1,424,-719.26171875
424,1,425,-720.875
425,1,426,-722.82421875
426,1,427,-724.796875
427,1,428,-730.63671875
428,1,429,-730.63671875
429,1,430,-736.5
430,1,431,-736.5
431,1,432,-736.5
432,1,433,-736.5
433,1,434,-736.5
434,1,435,-736.5
435,1,436,-736.5
436,1,437,-738.76171875
437,1,438,-738.76171875
438,1,439,-741.046875
439,1,440,-746.94921875
440,1,441,-746.94921875
441,1,442,-746.94921875
442,1,443,-746.94921875
443,1,444,-746.94921875
444,1,445,-749.265625
445,1,446,-755.19921875
446,1,447,-755.19921875
447,1,448,-761.15625
448,1,449,-761.15625
449,1,450,-767.13671875
450,1,451,-769.15625
451,1,452,-771.51171875
452,1,453,-771.51171875
453,1,454,-773.546875
454,1,455,-773.546875
455,1,456,-773.546875
456,1,457,-773.546875
457,1,458,-779.57421875
458,1,459,-779.57421875
459,1,460,-779.57421875
460,1,461,-781.953125
461,1,462,-781.953125
462,1,463,-788.01171875
463,1,464,-788.01171875
464,1,465,-794.09375
465,1,466,-794.09375
466,1,467,-794.09375
467,1,468,-794.09375
468,1,469,-794.09375
469,1,470,-794.09375
470,1,471,-795.73046875
471,1,472,-795.73046875
472,1,473,-795.73046875
473,1,474,-795.73046875
474,1,475,-795.73046875
475,1,476,-795.73046875
476,1,477,-801.84375
477,1,478,-807.98046875
478,1,479,-807.98046875
479,1,480,-814.140625
480,1,481,-814.140625
481,1,482,-820.32421875
482,1,483,-820.32421875
483,1,484,-820.32421875
