,num_iterations,updates,energy
0,1,1,-1117.7278433210918
1,1,2,-1170.8839160401444
2,1,3,-1170.8839160401444
3,1,4,-1315.8658900425476
4,1,5,-1315.8658900425476
5,1,6,-1315.8658900425476
6,1,7,-1436.4250453262566
7,1,8,-1436.4250453262566
8,1,9,-1587.0893051734772
9,1,10,-1587.0893051734772
10,1,11,-1710.3542340132938
11,1,12,-1710.3542340132938
12,1,13,-1835.8662979107985
13,1,14,-1959.3086253568613
14,1,15,-2130.6963815225613
15,1,16,-2130.6963815225613
16,1,17,-2288.0359826682884
17,1,18,-2288.0359826682884
18,1,19,-2422.935265484157
19,1,20,-2422.935265484157
20,1,21,-2422.935265484157
21,1,22,-2560.9578662045233
22,1,23,-2560.9578662045233
23,1,24,-2730.2049792457974
24,1,25,-2730.2049792457974
25,1,26,-2876.109549572032
26,1,27,-2876.109549572032
27,1,28,-3000.8486631262344
28,1,29,-3000.8486631262344
29,1,30,-3000.8486631262344
30,1,31,-3165.6228982614875
31,1,32,-3165.6228982614875
32,1,33,-3165.6228982614875
33,1,34,-3165.6228982614875
34,1,35,-3165.6228982614875
35,1,36,-3165.6228982614875
36,1,37,-3324.8095897217563
37,1,38,-3468.5661512353745
38,1,39,-3631.8011566302457
39,1,40,-3772.5981421472407
40,1,41,-3772.5981421472407
41,1,42,-3950.957779205505
42,1,43,-4111.494048693894
43,1,44,-4298.764533762075
44,1,45,-4298.764533762075
45,1,46,-4298.764533762075
46,1,47,-4298.764533762075
47,1,48,-4298.764533762075
48,1,49,-4298.764533762075
49,1,50,-4513.522692041841
50,1,51,-4698.068948866428
51,1,52,-4698.068948866428
52,1,53,-4924.75641440548
53,1,54,-5131.495601000617
54,1,55,-5311.294948219169
55,1,56,-5490.155590214618
56,1,57,-5730.78945352996
57,1,58,-5941.989758199135
58,1,59,-6168.358418452492
59,1,60,-6168.358418452492
60,1,61,-6168.358418452492
61,1,62,-6367.252135185223
62,1,63,-6583.035314666144
63,1,64,-6583.035314666144
64,1,65,-6583.035314666144
65,1,66,-6583.035314666144
66,1,67,-6792.773425438052
67,1,68,-6792.773425438052
68,1,69,-6792.773425438052
69,1,70,-7010.236111322682
70,1,71,-7241.985295874665
71,1,72,-7241.985295874665
72,1,73,-7241.985295874665
73,1,74,-7498.145151044566
74,1,75,-7498.145151044566
75,1,76,-7498.145151044566
76,1,77,-7709.488271563625
77,1,78,-7709.488271563625
78,1,79,-7886.132118160558
79,1,80,-8122.954452110212
80,1,81,-8363.954706011511
81,1,82,-8641.372127534401
82,1,83,-8641.372127534401
83,1,84,-8641.372127534401
84,1,85,-8887.338448223669
85,1,86,-8887.338448223669
86,1,87,-9110.802051890796
87,1,88,-9371.854390804063
88,1,89,-9371.854390804063
89,1,90,-9652.449572924355
90,1,91,-9950.398057273736
91,1,92,-9950.398057273736
92,1,93,-10193.777259051345
93,1,94,-10193.777259051345
94,1,95,-10451.336209170035
95,1,96,-10771.883697252306
96,1,97,-11077.271181152331
97,1,98,-11077.271181152331
98,1,99,-11077.271181152331
99,1,100,-11363.405756305525
100,1,101,-11668.622206356691
101,1,102,-11668.622206356691
102,1,103,-11668.622206356691
103,1,104,-12010.511925638537
104,1,105,-12010.511925638537
105,1,106,-12010.511925638537
106,1,107,-12010.511925638537
107,1,108,-12010.511925638537
108,1,109,-12010.511925638537
109,1,110,-12264.969371349736
110,1,111,-12571.584417416858
111,1,112,-12571.584417416858
112,1,113,-12571.584417416858
113,1,114,-12874.447529424415
114,1,115,-12874.447529424415
115,1,116,-13165.180218370306
116,1,117,-13165.180218370306
