,num_iterations,updates,energy
0,1,1,-527.82421875
1,1,2,-527.82421875
2,1,3,-527.82421875
3,1,4,-527.82421875
4,1,5,-527.82421875
5,1,6,-527.82421875
6,1,7,-529.921875
7,1,8,-530.98046875
8,1,9,-530.98046875
9,1,10,-530.98046875
10,1,11,-533.09375
11,1,12,-534.16796875
12,1,13,-539.15625
13,1,14,-544.16796875
14,1,15,-545.28125
15,1,16,-547.07421875
16,1,17,-547.07421875
17,1,18,-549.203125
18,1,19,-549.203125
19,1,20,-549.203125
20,1,21,-554.26171875
21,1,22,-554.26171875
22,1,23,-554.26171875
23,1,24,-554.26171875
24,1,25,-554.26171875
25,1,26,-554.26171875
26,1,27,-556.078125
27,1,28,-561.16796875
28,1,29,-561.16796875
29,1,30,-562.296875
30,1,31,-564.13671875
31,1,32,-564.13671875
32,1,33,-569.265625
33,1,34,-569.265625
34,1,35,-571.41796875
35,1,36,-576.578125
36,1,37,-576.578125
37,1,38,-576.578125
38,1,39,-576.578125
39,1,40,-576.578125
40,1,41,-576.578125
41,1,42,-576.578125
42,1,43,-576.578125
43,1,44,-576.578125
44,1,45,-576.578125
45,1,46,-576.578125
46,1,47,-576.578125
47,1,48,-576.578125
48,1,49,-576.578125
49,1,50,-581.76171875
50,1,51,-581.76171875
51,1,52,-581.76171875
52,1,53,-586.96875
53,1,54,-586.96875
54,1,55,-588.13671875
55,1,56,-588.13671875
56,1,57,-588.13671875
57,1,58,-590.328125
58,1,59,-590.328125
59,1,60,-592.19921875
60,1,61,-592.19921875
61,1,62,-592.19921875
62,1,63,-597.453125
63,1,64,-598.63671875
64,1,65,-598.63671875
65,1,66,-598.63671875
66,1,67,-598.63671875
67,1,68,-598.63671875
68,1,69,-598.63671875
69,1,70,-598.63671875
70,1,71,-598.63671875
71,1,72,-598.63671875
72,1,73,-598.63671875
73,1,74,-598.63671875
74,1,75,-598.63671875
75,1,76,-598.63671875
76,1,77,-598.63671875
77,1,78,-603.921875
78,1,79,-605.13671875
79,1,80,-606.375
80,1,81,-608.57421875
81,1,82,-608.57421875
82,1,83,-608.57421875
83,1,84,-609.828125
84,1,85,-609.828125
85,1,86,-609.828125
86,1,87,-615.16796875
87,1,88,-615.16796875
88,1,89,-615.16796875
89,1,90,-620.53125
90,1,91,-620.53125
91,1,92,-620.53125
92,1,93,-620.53125
93,1,94,-620.53125
94,1,95,-622.76171875
95,1,96,-622.76171875
96,1,97,-622.76171875
97,1,98,-622.76171875
98,1,99,-622.76171875
99,1,100,-622.76171875
100,1,101,-622.76171875
101,1,102,-622.76171875
102,1,103,-622.76171875
103,1,104,-625.015625
104,1,105,-625.015625
105,1,106,-630.41796875
106,1,107,-630.41796875
107,1,108,-630.41796875
108,1,109,-631.703125
109,1,110,-631.703125
110,1,111,-631.703125
111,1,112,-633.98046875
112,1,113,-633.98046875
113,1,114,-633.98046875
114,1,115,-633.98046875
115,1,116,-633.98046875
116,1,117,-633.98046875
117,1,118,-633.98046875
118,1,119,-636.28125
119,1,120,-636.28125
120,1,121,-641.73046875
121,1,122,-647.203125
122,1,123,-647.203125
123,1,124,-647.203125
124,1,125,-647.203125
125,1,126,-647.203125
126,1,127,-648.51171875
127,1,128,-648.51171875
128,1,129,-649.84375
129,1,130,-649.84375
130,1,131,-649.84375
131,1,132,-649.84375
132,1,133,-655.35546875
133,1,134,-660.890625
134,1,135,-660.890625
