,Number of patterns,noise level,recall accuracy rate,perfect recall rate
134,135,0.05,0.9703414351851852,0.0
135,136,0.05,0.9688648897058824,0.0
136,137,0.05,0.9694913321167883,0.0
137,138,0.05,0.9688490715579711,0.0
138,139,0.05,0.9668390287769785,0.0
139,140,0.05,0.9679617745535715,0.0
140,141,0.05,0.9658687943262412,0.0
141,142,0.05,0.9671751210387324,0.0
142,143,0.05,0.9662846918706294,0.0
143,144,0.05,0.9662746853298612,0.0
144,145,0.05,0.9669989224137931,0.0
145,146,0.05,0.9650444135273972,0.0
146,147,0.05,0.9638206845238095,0.0
147,148,0.05,0.9664735536317568,0.0
148,149,0.05,0.9669214031040269,0.0
149,150,0.05,0.9662369791666666,0.0
150,151,0.05,0.9634726821192053,0.0
151,152,0.05,0.9640085320723685,0.0
152,153,0.05,0.964984170751634,0.0
153,154,0.05,0.9618696732954546,0.0
154,155,0.05,0.961328125,0.0
155,156,0.05,0.9618389423076923,0.0
156,157,0.05,0.960570511544586,0.0
157,158,0.05,0.9592501483386076,0.0
158,159,0.05,0.9601451945754716,0.0
159,160,0.05,0.960137939453125,0.0
160,161,0.05,0.9580563373447205,0.0
161,162,0.05,0.9585925443672839,0.0
162,163,0.05,0.9597931844325154,0.0
163,164,0.05,0.9576088509908537,0.0
164,165,0.05,0.9561789772727273,0.0
165,166,0.05,0.9564606080572289,0.0
166,167,0.05,0.953873502994012,0.0
167,168,0.05,0.9552990141369048,0.0
168,169,0.05,0.9539917714497042,0.0
169,170,0.05,0.953515625,0.0
170,171,0.05,0.9537760416666666,0.0
171,172,0.05,0.9542207939680233,0.0
172,173,0.05,0.9519565119219653,0.0
173,174,0.05,0.9519912895114943,0.0
174,175,0.05,0.9495033482142857,0.0
175,176,0.05,0.9492409446022727,0.0
176,177,0.05,0.94872771009887,0.0
177,178,0.05,0.9474741046348315,0.0
178,179,0.05,0.9473092702513967,0.0
179,180,0.05,0.9403862847222222,0.0
180,181,0.05,0.9458250604281768,0.0
181,182,0.05,0.9410413804945055,0.0
182,183,0.05,0.9373825990437158,0.0
183,184,0.05,0.9439272673233695,0.0
184,185,0.05,0.9422191722972973,0.0
185,186,0.05,0.9398731518817204,0.0
186,187,0.05,0.9459443933823529,0.0
187,188,0.05,0.9401284075797872,0.0
188,189,0.05,0.9390966021825397,0.0
189,190,0.05,0.9372738486842105,0.0
190,191,0.05,0.9364007280759162,0.0
191,192,0.05,0.9366404215494791,0.0
192,193,0.05,0.9370294284326425,0.0
193,194,0.05,0.9338454413659794,0.0
194,195,0.05,0.9318108974358974,0.0
195,196,0.05,0.9298469387755102,0.0
196,197,0.05,0.9296428854695431,0.0
197,198,0.05,0.9344322127525253,0.0
198,199,0.05,0.9301291614321608,0.0
