,num_iterations,recon_losses
0,0.0,1450.5892810823616
1,10.0,1409.810647708074
2,20.0,1401.3522123917965
3,30.0,1400.8078522272976
4,40.0,1396.485199839747
5,50.0,1396.3963338589072
6,60.0,1391.768826462441
7,70.0,1383.6685366278368
8,80.0,1382.1996647993597
9,90.0,1384.9318450134099
10,100.0,1380.69834690137
11,110.0,1379.0488053325428
12,120.0,1378.6314923875925
13,130.0,1380.402954681361
14,140.0,1381.1682592755626
15,150.0,1380.1821972787484
16,160.0,1379.8186622967698
17,170.0,1384.2156594269684
18,180.0,1382.1504797472608
19,190.0,1385.37176847981
20,199.0,1385.9819523337928
