,num_iterations,recon_losses
0,0.0,1444.9615299984134
1,10.0,1393.4250704996487
2,20.0,1392.0408151410363
3,30.0,1384.2662229920106
4,40.0,1384.998114120219
5,50.0,1377.8407616092134
6,60.0,1380.5073448039816
7,70.0,1373.2490140349435
8,80.0,1378.7187458064602
9,90.0,1377.2257563521332
10,100.0,1371.6591169016144
11,110.0,1376.076364316419
12,120.0,1378.8920771511782
13,130.0,1372.3802721588097
14,140.0,1375.511159048005
15,150.0,1377.6332217842405
16,160.0,1377.288918256393
17,170.0,1372.3716910769879
18,180.0,1375.3277839742316
19,190.0,1373.1675988559964
20,199.0,1373.903898100084
