,num_iterations,recon_losses
0,0.0,1484.282887404559
1,10.0,1427.085687837374
2,20.0,1420.8068515635332
3,30.0,1420.938366989651
4,40.0,1425.6548641949844
5,50.0,1420.9278326249769
6,60.0,1422.0625643412684
7,70.0,1422.2793552434923
8,80.0,1420.407012795592
9,90.0,1422.106846196481
10,100.0,1420.7776231866542
11,110.0,1424.8462275610568
12,120.0,1421.6208740201741
13,130.0,1421.5317765716045
14,140.0,1419.1992355670836
15,150.0,1423.639548604858
16,160.0,1420.6617967772715
17,170.0,1424.196716019408
18,180.0,1424.4379337468295
19,190.0,1423.6922873492426
20,199.0,1426.124781975128
